time_cali_s,Ecell_V,I_mA,QDischarge_cali_mA_h,SOC
714.9640745697543,3.6097879,-4438.9429,1056.0120897642678,0.3853481914187562
724.9640756202862,3.6046684,-4446.2295,1068.3516096845178,0.37847777197267973
734.9640766596422,3.5995097,-4452.335,1080.7089855994977,0.37159741063468094
744.9640776999295,3.5943508,-4457.4556,1093.084048732098,0.3647072013767735
754.9640787402168,3.5890346,-4464.3486,1105.477110952148,0.3578069705555292
764.9640797898173,3.5836787,-4473.2114,1117.8884526467577,0.3508965620565235
774.9640808301046,3.5783231,-4477.5439,1130.3183739737979,0.343975808757333
784.964081870392,3.572928,-4484.6338,1142.7667593874776,0.33704477499174496
794.9640829199925,3.5675328,-4490.9365,1155.2340654758077,0.33010320653988945
804.9640839602798,3.5619802,-4499.4053,1167.7201914344578,0.32315115952777757
